Index,Frequency,Magnitude,Phase,Real,Imaginary
4896,28687.5,0.0636685,-2.88955,-0.0616568,-0.0158781
4897,28693.4,0.0659704,-2.93471,-0.0645637,-0.013551
4898,28699.2,0.0605749,-2.96177,-0.0595982,-0.0108342
4899,28705.1,0.0621965,-2.90811,-0.0605088,-0.0143905
4900,28710.9,0.0671334,-2.98266,-0.0662873,-0.010625
4901,28716.8,0.0617443,-2.954,-0.0606611,-0.0115148
4902,28722.7,0.064809,-2.90568,-0.0630139,-0.0151478
4903,28728.5,0.0662488,-2.9601,-0.0651607,-0.011958
4904,28734.4,0.0614626,-2.93505,-0.0601563,-0.0126046
4905,28740.2,0.0656466,-2.93048,-0.0641891,-0.0137563
4906,28746.1,0.0653044,-2.90031,-0.0634127,-0.0156044
4907,28752,0.0601734,-2.96449,-0.0592322,-0.0106011
4908,28757.8,0.063337,-2.91943,-0.0617804,-0.0139555
4909,28763.7,0.0647628,-2.97973,-0.0639163,-0.0104367
4910,28769.5,0.065274,-2.97656,-0.0643871,-0.0107238
4911,28775.4,0.0647712,-2.88848,-0.0627075,-0.0162197
4912,28781.2,0.0661549,-2.94024,-0.0648184,-0.0132306
4913,28787.1,0.0630003,-2.96762,-0.0620493,-0.0109049
4914,28793,0.0649994,-2.87263,-0.0626625,-0.0172723
4915,28798.8,0.0656053,-2.97306,-0.0646758,-0.0110042
4916,28804.7,0.0643268,-2.94633,-0.0631044,-0.0124809
4917,28810.5,0.0667278,-2.86866,-0.0642579,-0.0179867
4918,28816.4,0.0652456,-2.92307,-0.063694,-0.0141442
4919,28822.3,0.061271,-2.92365,-0.0598216,-0.0132479
4920,28828.1,0.0656666,-2.89332,-0.0636532,-0.016136
4921,28834,0.0650288,-2.92951,-0.0635718,-0.0136883
4922,28839.8,0.0625494,-2.91787,-0.0609905,-0.0138773
4923,28845.7,0.0638094,-2.86267,-0.0613432,-0.0175682
4924,28851.6,0.0632524,-2.93636,-0.061925,-0.0128903
4925,28857.4,0.0606073,-2.96479,-0.0596625,-0.0106598
4926,28863.3,0.0654404,-2.89383,-0.0634421,-0.0160483
4927,28869.1,0.0659547,-2.94777,-0.0647197,-0.0127033
4928,28875,0.0613233,-2.91819,-0.0597993,-0.0135864
4929,28880.9,0.0642079,-2.87548,-0.0619479,-0.0168853
4930,28886.7,0.0646806,-2.96048,-0.0636226,-0.0116506
4931,28892.6,0.0598699,-2.92795,-0.0585088,-0.0126934
4932,28898.4,0.0655031,-2.90262,-0.0636416,-0.015505
4933,28904.3,0.064358,-2.97668,-0.0634849,-0.0105652
4934,28910.2,0.0614576,-2.93751,-0.0601821,-0.0124558
4935,28916,0.0673481,-2.90944,-0.0655414,-0.0154952
4936,28921.9,0.0657222,-2.95825,-0.0646207,-0.0119821
4937,28927.7,0.0614773,-2.91011,-0.0598375,-0.0141045
4938,28933.6,0.0674881,-2.89829,-0.0655005,-0.0162582
4939,28939.5,0.0641492,-2.96915,-0.0631978,-0.0110072
4940,28945.3,0.063472,-2.89459,-0.0615455,-0.015519
4941,28951.2,0.0657222,-2.9188,-0.0640979,-0.0145215
4942,28957,0.0666007,-2.95696,-0.0654687,-0.0122271
4943,28962.9,0.0639674,-2.90009,-0.062111,-0.0152986
4944,28968.8,0.0679045,-2.87152,-0.065443,-0.018117
4945,28974.6,0.0646905,-2.94242,-0.0634116,-0.0127992
4946,28980.5,0.0636599,-2.8498,-0.060969,-0.0183129
4947,28986.3,0.0641792,-2.89513,-0.0622398,-0.0156582
4948,28992.2,0.0638629,-2.93446,-0.0624978,-0.0131337
4949,28998,0.0623887,-2.91719,-0.0608244,-0.0138832
4950,29003.9,0.0668881,-2.9039,-0.0650074,-0.0157496
4951,29009.8,0.0656248,-2.91522,-0.0639505,-0.0147291
4952,29015.6,0.0627165,-2.9312,-0.0613335,-0.0130982
4953,29021.5,0.0683946,-2.83822,-0.0652713,-0.0204323
4954,29027.3,0.0649164,-2.93905,-0.0635894,-0.0130584
4955,29033.2,0.0609687,-2.84547,-0.058315,-0.0177917
4956,29039.1,0.0653273,-2.88752,-0.0632301,-0.0164199
4957,29044.9,0.0636852,-2.95304,-0.0625564,-0.0119373
4958,29050.8,0.0629321,-2.89363,-0.0610073,-0.0154452
4959,29056.6,0.066655,-2.87804,-0.0643536,-0.0173641
4960,29062.5,0.0658612,-2.93267,-0.064429,-0.0136601
4961,29068.4,0.0607164,-2.85419,-0.058226,-0.0172107
4962,29074.2,0.0672303,-2.88755,-0.0650725,-0.0168964
4963,29080.1,0.0641347,-2.92252,-0.0626018,-0.0139383
4964,29085.9,0.0602325,-2.84475,-0.0575983,-0.017618
4965,29091.8,0.0663149,-2.89333,-0.0642818,-0.0162949
4966,29097.7,0.0603519,-2.95986,-0.059358,-0.0109075
4967,29103.5,0.064509,-2.89956,-0.0626288,-0.0154614
4968,29109.4,0.0671912,-2.88187,-0.0649377,-0.0172556
4969,29115.2,0.0615664,-2.94456,-0.0603752,-0.0120524
4970,29121.1,0.0645979,-2.87598,-0.0623325,-0.0169572
4971,29127,0.0657174,-2.90373,-0.063867,-0.0154848
4972,29132.8,0.0633565,-2.93265,-0.0619785,-0.013142
4973,29138.7,0.0645145,-2.88664,-0.0624291,-0.0162703
4974,29144.5,0.0667689,-2.87511,-0.0644123,-0.0175826
4975,29150.4,0.06183,-2.93666,-0.0605362,-0.0125827
4976,29156.2,0.0641567,-2.89763,-0.062257,-0.0154968
4977,29162.1,0.0684921,-2.898,-0.06647,-0.0165197
4978,29168,0.0634504,-2.92933,-0.0620264,-0.0133672
4979,29173.8,0.0663461,-2.84617,-0.063472,-0.0193162
4980,29179.7,0.0655169,-2.89079,-0.0634671,-0.0162598
4981,29185.5,0.0649388,-2.92105,-0.0633659,-0.0142061
4982,29191.4,0.0645963,-2.83197,-0.0615247,-0.0196822
4983,29197.3,0.0670459,-2.8773,-0.0647179,-0.0175141
4984,29203.1,0.061386,-2.90611,-0.0596919,-0.0143222
4985,29209,0.0644113,-2.84883,-0.0616706,-0.018589
4986,29214.8,0.0673184,-2.90571,-0.0654542,-0.0157326
4987,29220.7,0.0627354,-2.87015,-0.0604384,-0.0168204
